run, lumi, event 
1,106239,50480993
1,623173,296110633
1,248848,118244431
1,53186,25271911
1,106475,50593197
1,127011,60351267
1,128599,61105727
1,619450,294341691
1,148402,70515857
1,295562,140441264
1,248895,118266680
1,616988,293172204
1,255973,121629773
1,611443,290537026
1,599198,284718744
1,39005,18533841
1,250068,118823950
1,250189,118881281
1,121905,57924826
1,112600,53503579
1,241558,114780005
1,264877,125860336
1,264880,125862039
1,295339,140335125
1,636565,302474207
1,648064,307938305
1,656999,312183757
1,662673,314879964
1,600538,285355528
1,607552,288688252
1,610087,289893007
1,628399,298593802
1,628167,298483669
1,629806,299262739
1,287572,136644772
1,582970,277007992
1,9379,4456370
1,159720,75893553
1,359531,170837304
1,584287,277633352
1,675468,320959830
1,8454,4016897
1,569831,270764479
1,582575,276820192
1,360110,171112135
1,454935,216169786
1,454579,216000696
1,566140,269011014
1,572586,272073613
1,365675,173756497
1,365674,173756281
1,566255,269065485
1,357665,169950443
1,574426,272948271
1,254900,121119908
1,236053,112164419
1,274065,130226338
1,48280,22940927
1,124886,59341704
1,112822,53609341
1,146015,69381436
1,637397,302869554
1,115646,54951025
1,127691,60674620
1,131663,62561835
1,246836,117288172
1,150483,71504344
1,134306,63817554
1,277873,132035795
1,147300,69991952
1,255009,121171818
1,249341,118478720
1,151359,71920816
1,281317,133672131
1,665357,316155487
1,602106,286100466
1,261714,124357746
1,656201,311804729
1,269380,128000247
1,644531,306259711
1,610180,289936960
1,643882,305951337
1,632666,300621533
1,660554,313873157
1,662891,314983429
1,358034,170125829
1,358560,170375723
1,567325,269573531
1,577793,274548153
1,580274,275726658
1,581925,276511421
1,593949,282224393
1,676322,321365539
1,588297,279539203
1,351730,167130432
1,359314,170733897
1,585639,278275831
1,591785,281196662
1,8338,3962099
1,9184,4363718
1,4279,2033003
1,348044,165378664
1,365014,173442364
1,362531,172262703
1,453047,215272961
1,389350,185005998
1,574793,273122498
1,626097,297500339
1,133145,63265963
1,237992,113085650
1,274915,130630096
1,610457,290068952
1,660581,313885900
1,624383,296686083
1,643997,306005988
1,662705,314895357
1,104576,49690833
1,109750,52149624
1,37839,17979678
1,48125,22867241
1,116078,55156425
1,112108,53269800
1,132891,63145416
1,130246,61888309
1,107548,51103171
1,107596,51125893
1,109551,52054721
1,123905,58875600
1,124412,59116037
1,125064,59426056
1,133501,63435261
1,133576,63471027
1,48973,23270338
1,48539,23064006
1,299593,142356510
1,650888,309279863
1,135673,64466843
1,253024,120228443
1,276403,131337517
1,603365,286698816
1,253127,120277660
1,46617,22150761
1,113819,54082949
1,132104,62771310
1,124434,59126754
1,124590,59200919
1,618368,293827618
1,235464,111884470
1,245668,116733035
1,294566,139967862
1,348213,165459260
1,361864,171945504
1,10507,4992405
1,1460,693742
1,5667,2692562
1,417637,198447193
1,4730,2247436
1,2015,957536
1,574495,272980811
1,593588,282053219
1,357949,170085059
1,587882,279341756
1,674250,320381066
1,579173,275203847
1,677150,321759102
1,388738,184715210
1,8012,3806736
1,361060,171563847
1,384905,182893874
1,652871,310222280
1,640916,304541735
1,620969,295063886
1,640957,304560931
1,640957,304561076
1,637847,303083561
1,102131,48529117
1,105152,49964742
1,135061,64176137
1,135087,64188663
1,129559,61562057
1,302585,143778201
1,305150,144997100
1,643496,305767875
1,657863,312594553
1,613401,291467690
1,613401,291467807
1,615190,292317559
1,615914,292661470
1,625606,297267058
1,616268,292829711
1,621088,295120194
1,644492,306241008
1,152252,72345159
1,125307,59541464
1,279123,132630030
1,109058,51820396
1,279013,132577295
1,301278,143157090
1,103835,49339067
1,130467,61993324
1,40133,19069966
1,46019,21866870
1,235286,111799911
1,109082,51831767
1,147825,70241282
1,125125,59454901
1,113979,54158779
1,285516,135667653
1,147508,70090883
1,147532,70102128
1,287956,136827038
1,639662,303946039
1,662611,314850479
1,119999,57019396
1,107788,51217310
1,597354,283842642
1,629786,299253134
1,638681,303480014
1,641903,305010699
1,642388,305241539
1,40984,19474219
1,41889,19903971
1,113254,53814460
1,142861,67882528
1,242546,115249630
1,658129,312720699
1,39375,18709475
1,45302,21525629
1,47712,22671041
1,46067,21889653
1,46652,22167321
1,137786,65471043
1,132311,62869819
1,39904,18960933
1,53565,25452119
1,46749,22213305
1,259850,123471703
1,43181,20518154
1,139115,66102879
1,151549,72010621
1,602636,286352443
1,614158,291827507
1,645146,306551676
1,651571,309604499
1,138435,65779513
1,250246,118908585
1,250328,118947501
1,40508,19248113
1,52892,25132598
1,265015,125925962
1,649210,308482665
1,40890,19429421
1,40574,19279469
1,128930,61263165
1,628442,298614456
1,246794,117267874
1,51386,24416886
1,51506,24473530
1,266729,126740611
1,266729,126740616
1,245367,116590086
1,632270,300433213
1,653003,310285048
1,653523,310532018
1,594301,282391586
1,598633,284450133
1,615257,292349393
1,604479,287228116
1,604481,287229402
1,597486,283905205
1,604920,287437677
1,234307,111334657
1,257884,122537736
1,659551,313396675
1,660603,313896420
1,610592,290132993
1,636296,302346653
1,643126,305592125
1,647740,307784374
1,650755,309217051
1,291166,138352504
1,300715,142889777
1,154976,73639401
1,110283,52402904
1,266374,126572074
1,263560,125234645
1,44132,20970058
1,126970,60331614
1,127515,60590722
1,241891,114938410
1,152597,72509020
1,153316,72850455
1,263745,125322676
1,658351,312826196
1,242498,115226713
1,642881,305475833
1,642803,305438444
1,40732,19354495
1,595976,283187792
1,285104,135471734
1,299833,142470537
1,302732,143848047
1,622382,295735085
1,627655,298240266
1,627156,298003529
1,135748,64503070
1,295219,140277840
1,609391,289562060
1,156890,74548774
1,365745,173789745
1,11554,5490028
1,11881,5645265
1,158182,75162671
1,387428,184092718
1,454984,216193132
1,416266,197795880
1,576885,274116630
1,4217,2003835
1,362203,172106441
1,9195,4369051
1,586763,278810166
1,7238,3438988
1,674763,320624860
1,386859,183822503
1,419437,199302369
1,593609,282063348
