run, lumi, event 
275658,285,554468063
275886,87,63444942
275886,88,65321955
275890,929,1792024933
275918,166,287981820
276282,1130,2040592178
276282,1132,2043698458
275920,228,415192063
275920,448,794831003
275923,74,121061512
276282,87,65683851
276244,448,688731165
276244,506,775080360
275833,150,287230551
275832,366,725589180
276384,715,1044134200
275782,208,388915366
275834,189,335761914
275890,210,412224937
275834,29,51743161
275834,204,368290893
275836,5,9503624
275782,173,323527439
275836,439,829493316
276244,343,530816610
276097,260,502955765
275836,316,608494156
275837,16,26466955
275913,74,154148269
275774,55,98571890
276318,81,143740971
276361,431,799209538
276361,442,818382880
276587,262,398533294
276528,322,407462764
276543,664,1211451636
276808,613,1172927403
276775,310,442860183
276542,344,524352192
276361,9,17257413
276361,43,84835192
276361,777,1495261481
276543,334,640248558
276653,159,185927092
276775,103,53477776
275911,101,87488717
276243,586,1009670708
276282,286,421023980
276282,1018,1807579316
276242,1062,2022806189
276282,268,388186611
275658,154,303690205
276282,518,871931843
275836,641,1175853195
275913,29,60865324
275913,142,285857770
275918,300,507895992
275847,377,500945887
275913,209,415241489
276501,730,1177346827
276363,905,1635925064
276437,404,661604532
276501,778,1253137760
276437,1128,2053847101
276542,571,956208127
276775,379,575560048
276544,125,232526794
276544,134,249709790
276585,176,283225533
276318,223,394785963
276527,44,61027702
276527,46,63448089
276586,651,1129880701
276458,308,391139422
276776,637,1089991638
276807,189,259332728
276808,314,607308697
276776,1221,2087699691
276655,614,1096590586
276794,82,108499416
276384,324,491419542
276525,2842,4776727104
276582,851,1532267545
276586,328,584654946
276775,517,833384769
276775,757,1251928265
276363,577,1020413754
276361,619,1181523410
276501,605,976178140
276502,235,361419659
276525,1043,1783071948
276542,716,1211544876
276587,283,429409551
276655,886,1533727374
276242,771,1477075448
275847,1241,1578852324
275834,144,251316405
275911,145,167490487
276242,31,54144427
276242,76,142537256
276242,54,98960293
275890,1329,2480664963
276097,98,176123630
276097,51,91378522
276283,598,1107973789
275833,200,380345969
275847,1435,1804415280
276242,1038,1988239746
275836,281,543355061
275774,189,338405572
275777,272,525675637
275782,184,344922848
275832,86,163760665
276454,421,664674411
276811,645,1176646858
276811,645,1177295506
276361,85,167205118
276363,91,167557094
276775,266,353996631
276525,1293,2213736376
276525,1294,2215464512
276542,230,320172399
276501,1888,3123865424
276544,13,21016274
276437,2110,3739153730
276776,1335,2260286054
276811,95,160050607
276582,307,542206334
276775,988,1708667621
276775,204,242198138
276794,573,759791461
276808,689,1328030143
276361,420,780498423
276437,1823,3225245576
276525,1507,2560840045
277420,87,38984779
277071,37,70065213
277071,93,177484836
277076,183,310403032
277166,294,423645136
277420,222,278232268
276808,566,1072884347
276437,1262,2303234485
276458,251,316774986
276542,636,1070518639
276583,1,1089044
276586,528,926494417
276525,212,273438798
276542,287,420052886
276655,334,628655473
276808,381,729332426
276776,172,293239444
276363,1447,2534092161
276501,1149,1927433426
276501,1372,2309002630
276776,1516,2537501825
276794,695,912801844
276775,875,1484972337
276807,79,49657227
276501,1289,2171344432
276501,1293,2178857267
276587,654,957207181
276581,146,166878426
276581,269,381374797
276581,362,551895120
276655,719,1264600694
276775,772,1276309293
276542,472,770666664
276583,10,15160466
276363,1129,2021201606
276545,93,154907531
276454,183,295581011
276437,664,1145101913
276542,262,377713087
276581,140,154782570
276655,466,858158480
276811,540,983376449
276525,1187,2035180841
276543,263,506721093
276582,277,491878166
276655,431,799238314
276501,236,389419939
276501,278,457689974
276501,243,401071282
276501,739,1191829612
276501,2050,3416443142
276525,147,149721454
276437,1358,2476141708
276437,1956,3455438415
276437,1558,2807767526
276318,367,620808033
276318,259,447694609
276655,19,36730420
276810,250,450869411
276501,1726,2868180242
276794,843,1100476607
276501,487,782964743
276811,557,1015852122
276361,375,702930615
276363,1286,2272621875
276363,1325,2335898189
276501,1178,1979603194
276543,404,769203997
276659,114,188712854
276384,838,1201794751
276586,612,1066330811
276776,987,1703622304
276810,118,215641962
276655,310,586168291
276775,483,771349501
276775,483,771254905
276775,851,1435401663
276437,1123,2043253080
276437,807,1410421057
276495,170,189821187
276495,212,266911241
276582,429,742460442
276501,466,746166924
276542,706,1193199792
276655,577,1045416141
276501,927,1521836829
276437,514,871569261
276495,231,302223265
276653,303,448270024
276361,455,840944417
276437,143,158849030
276361,768,1477697213
276585,184,295524659
276581,301,439820452
276655,383,716111485
276775,430,673745982
276775,1192,2091698855
276776,1269,2155265312
276586,72,116462965
276653,232,320379342
276315,118,157198770
276315,120,159749168
276437,119,114772794
276655,98,191334835
276811,931,1679384588
276361,75,147495264
276501,1804,2984493062
276525,345,507416773
276587,516,766471649
276811,1623,2751294331
276361,258,492417876
276437,618,1062240954
276811,2562,4013057342
276525,2102,3627992109
276525,2828,4756811655
276794,271,362134018
276810,281,504405008
276581,159,189667119
276581,254,353760398
276501,2504,4174520438
276543,341,652998837
276585,32,50899359
276318,540,956485396
276361,110,216378550
276502,597,892963459
276776,477,790309014
276384,135,207283551
276542,725,1226948712
276502,81,122902305
276582,210,377262113
276543,285,547277136
276585,78,125920567
276808,33,66821906
276808,48,98094414
276808,326,630483170
276810,140,256222777
276811,312,547347996
276525,393,591915934
276543,933,1642947901
276525,1343,2295665816
276525,2787,4696979222
276525,2792,4704204981
276655,622,1109071153
276501,2115,3529430036
276586,738,1242764077
276794,89,118720614
276315,164,247138615
276807,125,135590295
276454,335,534245177
276437,682,1176217879
276437,873,1547539218
276776,1197,2048969579
276808,530,995557504
276808,835,1616818841
276501,14,18259145
276775,177,187234104
276582,299,529095297
276655,851,1467837085
276655,994,1735792578
276528,386,492782693
276525,968,1648160240
276794,170,228495951
276794,171,229464013
276811,2047,3338615548
276361,238,456793014
276363,781,1406023818
276501,265,436918905
276542,728,1230842420
276542,846,1429773222
276525,1769,3047139644
276776,1304,2211610549
